name,lat,lon,stars,website,phone,addr:street,addr:city
Residence Inn,33.9749961,-118.4576159,,https://www.marriott.com/laxma,+1 310-439-2908,Via Marina,Marina del Rey
Residence Inn,34.0459839,-118.265659,,https://www.marriott.com/laxri,+1 213-443-9200,West Olympic Boulevard,Los Angeles
The Shay,34.028025,-118.387391,,https://www.hyatt.com/en-US/hotel/california/the-shay/laxdi,+1 424 361 6700,Washington Boulevard,Culver City
Courtyard Mar,34.145968,-118.76805,,,+1 747-263-2348,Agoura Road,
Jasmine Hotel,34.020843,-118.4014045,,,,,
THE COVE HOTEL,33.8039308,-118.191136,,www.covelongbeach.com,562-426-7611,East Willow Street,Long Beach
Sheraton Grand Los Angeles,34.0477069,-118.2583016,,https://www.marriott.com/en-us/hotels/laxgr-sheraton-grand-los-angeles/overview/,+1-213-488-3500,South Hope Street,Los Angeles
Days Inn,34.0367217,-118.4705612,,https://www.wyndhamhotels.com/days-inn/santa-monica-california/days-inn-santa-monica/overview,+1 310-829-6333,Santa Monica Boulevard,Santa Monica
Homewood Suites by Hilton Los Angeles International Airport,33.9460537,-118.392895,,https://www.hilton.com/en/hotels/laxswhw,+1-310-215-3300,West Century Boulevard,Los Angeles
"H Hotel Los Angeles, Curio Collection by Hilton",33.946053,-118.392718,,https://www.hilton.com/en/hotels/laxcaqq,+1-310-215-3000,West Century Boulevard,Los Angeles
Ocean Luxury Lofts & Suites,34.0130512,-118.4963361,,,,Broadway,Los Angeles
InterContinental Los Angeles Downtown,34.0500222,-118.2600358,,,,Wilshire Boulevard,Los Angeles
Los Angeles Athletic Club,34.0465524,-118.25513,,https://laac.com/,+1 213-625-2211,West Seventh Street,Los Angeles
Trylon hotel,34.105417,-118.3314767,,,,,
West End Hotel,34.0474474,-118.4490427,,,,,
Hotel Lexen,34.377216,-118.5258317,,,,,
Conrad Los Angeles Hotel,34.0551379,-118.2485056,,https://www.hilton.com/en/hotels/laxavci-conrad-los-angeles/,,,
Hotel Brooks,34.0473078,-118.4492971,,,,,
Lyfe Inn,34.240189,-118.3952069,,https://www.agahotels.com/,,San Fernando Road,
,33.8713775,-118.0816891,,,,,
Rotex Hotel,34.0528926,-118.3124957,,https://rotex-hotelcondo.com/,,,
Morrison Hotel,34.0395653,-118.2654059,,,,South Hope Street,Los Angeles
Malibu Beach Inn,34.0381194,-118.6744587,,,,,
Trend Hotel LAX,33.9312588,-118.3509029,,https://www.trendhotellax.com/,+1-424-227-6319,,
Hotel Catalina,33.3445405,-118.3279181,,,,,
Snug Harbor Inn,33.3437865,-118.3259363,,,,,
Casa Mariquita,33.3431624,-118.3282612,,,,Metropole Avenue,Avalon
Mt. Ada,33.3413819,-118.321433,,,,,
Courtyard By Marriott Marina del Rey,33.9744684,-118.457427,,https://www.marriott.com/laxci,+1 310-439-2908,Via Marina,Marina del Rey
Residence Inn,33.8379396,-118.3520665,,https://www.marriott.com/laxtc,+1 310-543-4566,Torrance Boulevard,Torrance
Days Inn,34.0951365,-118.1286453,,https://www.wyndhamhotels.com/days-inn/alhambra-california/days-inn-alhambra-ca/overview,+1 626-380-9797,North First Street,Alhambra
SpringHill Suites,33.9337403,-118.1230406,,https://www.marriott.com/laxsd,+1 562-999-9975,Firestone Boulevard,Downey
Residence Inn,34.1418429,-118.0235307,,https://www.marriott.com/bwrar,+1 626-446-6500,East Huntington Drive,Arcadia
TownePlace Suites,34.1401546,-118.0013292,,https://www.marriott.com/laxpm,+1 626-256-3300,West Huntington Drive,Monrovia
Home2 Suites,34.1185795,-117.9085599,,https://www.hilton.com/en/hotels/laxazht-home2-suites-azusa/,+1 626-239-2015,South Azusa Avenue,Azusa
Tuscan Garden Inn,34.0519059,-118.2814959,,,,West Olympic Boulevard,
Hotel Atwater,33.343532,-118.3266966,,https://www.visitcatalinaisland.com/hotel-atwater,,Sumner Avenue,
Moxy,34.0406639,-118.2674897,,,,,
AC Hotel,34.0409131,-118.2672406,,,,,
Hotel Covell,34.0998804,-118.2901832,,https://www.hotelcovell.com/,(323) 660-4300,Hollywood Boulevard,Los Angeles
,33.904179,-118.2912075,,,,,
,33.9233071,-118.2824378,,,,,
WoodSpring Suites,34.608804,-118.1494025,,,,,
